IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.142.146,12346,true,HKG,Asia Pacific,Hong Kong,77 ms,3422 kB/s
62.60.236.218,2053,true,ARN,Europe,Stockholm,304 ms,2080 kB/s
47.238.174.54,55555,true,IAD,North America,Ashburn,86 ms,1064 kB/s
62.60.237.175,443,true,CDG,Europe,Paris,301 ms,1039 kB/s
152.32.168.5,8081,true,HKG,Asia Pacific,Hong Kong,243 ms,118 kB/s
62.60.236.95,8443,true,ARN,Europe,Stockholm,266 ms,80 kB/s
62.60.234.41,8443,true,RIX,Europe,Riga,268 ms,38 kB/s
118.140.228.154,12315,true,HKG,Asia Pacific,Hong Kong,407 ms,2 kB/s
8.212.43.8,443,true,SJC,North America,San Jose,79 ms,0 kB/s
149.104.24.14,8443,true,HKG,Asia Pacific,Hong Kong,81 ms,0 kB/s
103.61.39.116,20000,true,HKG,Asia Pacific,Hong Kong,262 ms,0 kB/s
47.76.75.29,1010,true,HKG,Asia Pacific,Hong Kong,79 ms,0 kB/s
124.156.129.206,6666,true,HKG,Asia Pacific,Hong Kong,106 ms,0 kB/s
40.83.122.22,2053,true,HKG,Asia Pacific,Hong Kong,175 ms,0 kB/s
23.147.232.65,443,true,NRT,Asia Pacific,Tokyo,94 ms,0 kB/s
103.169.126.100,443,true,HKG,Asia Pacific,Hong Kong,161 ms,0 kB/s
62.60.238.255,8443,true,FRA,Europe,Frankfurt,346 ms,0 kB/s
154.213.187.128,2053,true,AMS,Europe,Amsterdam,346 ms,0 kB/s
154.213.192.175,2083,true,FRA,Europe,Frankfurt,233 ms,0 kB/s
62.60.239.12,2053,true,FRA,Europe,Frankfurt,280 ms,0 kB/s
62.60.238.237,2053,true,FRA,Europe,Frankfurt,229 ms,0 kB/s
154.213.192.175,443,true,FRA,Europe,Frankfurt,216 ms,0 kB/s
154.213.187.217,2053,true,AMS,Europe,Amsterdam,379 ms,0 kB/s
62.60.239.60,443,true,FRA,Europe,Frankfurt,228 ms,0 kB/s
223.18.129.85,12345,true,HKG,Asia Pacific,Hong Kong,401 ms,0 kB/s
62.60.236.218,8443,true,ARN,Europe,Stockholm,259 ms,0 kB/s
58.152.99.200,12419,true,HKG,Asia Pacific,Hong Kong,121 ms,0 kB/s
47.76.62.62,8443,true,HKG,Asia Pacific,Hong Kong,86 ms,0 kB/s
62.60.234.38,8443,true,RIX,Europe,Riga,275 ms,0 kB/s
116.204.210.10,443,true,HKG,Asia Pacific,Hong Kong,242 ms,0 kB/s
62.60.238.3,2053,true,FRA,Europe,Frankfurt,242 ms,0 kB/s
156.255.90.175,2053,true,HKG,Asia Pacific,Hong Kong,248 ms,0 kB/s
47.76.83.114,11001,true,HKG,Asia Pacific,Hong Kong,127 ms,0 kB/s
62.60.238.211,443,true,FRA,Europe,Frankfurt,236 ms,0 kB/s
154.12.179.166,443,true,HKG,Asia Pacific,Hong Kong,82 ms,0 kB/s
62.60.236.20,2053,true,ARN,Europe,Stockholm,272 ms,0 kB/s
47.76.64.199,8880,true,HKG,Asia Pacific,Hong Kong,96 ms,0 kB/s
62.60.237.26,2053,true,ARN,Europe,Stockholm,276 ms,0 kB/s
62.60.238.255,2053,true,FRA,Europe,Frankfurt,280 ms,0 kB/s
62.60.238.3,8443,true,FRA,Europe,Frankfurt,296 ms,0 kB/s
185.74.222.219,2053,true,HKG,Asia Pacific,Hong Kong,444 ms,0 kB/s
62.60.236.20,8443,true,ARN,Europe,Stockholm,268 ms,0 kB/s
62.60.237.153,443,true,FRA,Europe,Frankfurt,276 ms,0 kB/s
113.254.171.90,12521,true,HKG,Asia Pacific,Hong Kong,367 ms,0 kB/s
62.60.233.83,8443,true,IST,Europe,Istanbul,409 ms,0 kB/s
221.124.240.28,10332,true,HKG,Asia Pacific,Hong Kong,398 ms,0 kB/s
8.218.80.236,6868,true,HKG,Asia Pacific,Hong Kong,107 ms,0 kB/s
154.213.187.127,2053,true,AMS,Europe,Amsterdam,238 ms,0 kB/s
154.213.187.132,2053,true,AMS,Europe,Amsterdam,280 ms,0 kB/s
154.213.187.124,2053,true,AMS,Europe,Amsterdam,298 ms,0 kB/s
42.98.73.202,17771,true,HKG,Asia Pacific,Hong Kong,96 ms,0 kB/s
223.16.138.113,10002,true,HKG,Asia Pacific,Hong Kong,284 ms,0 kB/s
154.213.187.140,2053,true,AMS,Europe,Amsterdam,304 ms,0 kB/s
40.83.122.22,8443,true,HKG,Asia Pacific,Hong Kong,140 ms,0 kB/s
118.140.228.154,12214,true,HKG,Asia Pacific,Hong Kong,387 ms,0 kB/s
47.76.75.29,777,true,HKG,Asia Pacific,Hong Kong,77 ms,0 kB/s
103.175.14.144,443,true,HKG,Asia Pacific,Hong Kong,88 ms,0 kB/s
2.58.65.168,443,true,FRA,Europe,Frankfurt,292 ms,0 kB/s
47.76.76.179,443,true,HKG,Asia Pacific,Hong Kong,74 ms,0 kB/s
118.140.228.154,18018,true,HKG,Asia Pacific,Hong Kong,389 ms,0 kB/s
141.98.234.14,2053,true,HKG,Asia Pacific,Hong Kong,336 ms,0 kB/s
185.74.222.61,2053,true,HKG,Asia Pacific,Hong Kong,374 ms,0 kB/s
74.119.193.94,2053,true,HKG,Asia Pacific,Hong Kong,380 ms,0 kB/s
47.76.84.134,1000,true,HKG,Asia Pacific,Hong Kong,124 ms,0 kB/s
47.76.31.10,443,true,HKG,Asia Pacific,Hong Kong,82 ms,0 kB/s
46.232.122.240,8000,true,HKG,Asia Pacific,Hong Kong,357 ms,0 kB/s
